id,data,hora,disponibilidade em %
1,2021-04-11,13:30:15,95
2,2021-04-11,13:30:16,100
3,2021-04-11,13:30:17,70
4,2021-04-11,13:30:18,72
5,2021-04-11,13:30:19,72
6,2021-04-11,13:30:20,100
7,2021-04-11,13:30:21,76
8,2021-04-11,13:30:22,92
9,2021-04-11,13:30:23,96
10,2021-04-11,13:30:24,96
11,2021-04-11,13:30:25,97
12,2021-04-11,13:30:26,98
13,2021-04-11,13:30:27,80
14,2021-04-11,13:30:28,72
15,2021-04-11,13:30:29,88
16,2021-04-11,13:30:30,76
17,2021-04-11,13:30:31,93
18,2021-04-11,13:30:32,90
19,2021-04-11,13:30:33,91
20,2021-04-11,13:30:34,88
21,2021-04-11,13:30:35,89
22,2021-04-11,13:30:36,81
23,2021-04-11,13:30:37,86
24,2021-04-11,13:30:38,80
25,2021-04-11,13:30:39,84
26,2021-04-11,13:30:40,76
27,2021-04-11,13:30:41,95
28,2021-04-11,13:30:42,99
29,2021-04-11,13:30:43,83
30,2021-04-11,13:30:44,80
31,2021-04-11,13:30:45,72
32,2021-04-11,13:30:46,73
33,2021-04-11,13:30:47,70
34,2021-04-11,13:30:48,73
35,2021-04-11,13:30:49,91
36,2021-04-11,13:30:50,74
37,2021-04-11,13:30:51,83
38,2021-04-11,13:30:52,72
39,2021-04-11,13:30:53,92
40,2021-04-11,13:30:54,81
41,2021-04-11,13:30:55,86
42,2021-04-11,13:30:56,95
43,2021-04-11,13:30:57,92
44,2021-04-11,13:30:58,73
45,2021-04-11,13:30:59,91
46,2021-04-11,13:31:00,99
47,2021-04-11,13:31:01,90
48,2021-04-11,13:31:02,98
49,2021-04-11,13:31:03,76
50,2021-04-11,13:31:04,75
51,2021-04-11,13:31:05,89
52,2021-04-11,13:31:06,76
53,2021-04-11,13:31:07,72
54,2021-04-11,13:31:08,86
55,2021-04-11,13:31:09,80
56,2021-04-11,13:31:10,79
57,2021-04-11,13:31:11,80
58,2021-04-11,13:31:12,95
59,2021-04-11,13:31:13,83
60,2021-04-11,13:31:14,84
61,2021-04-11,13:31:15,72
62,2021-04-11,13:31:16,98
63,2021-04-11,13:31:17,93
64,2021-04-11,13:31:18,79
65,2021-04-11,13:31:19,83
66,2021-04-11,13:31:20,83
67,2021-04-11,13:31:21,73
68,2021-04-11,13:31:22,97
69,2021-04-11,13:31:23,85
70,2021-04-11,13:31:24,88
71,2021-04-11,13:31:25,96
72,2021-04-11,13:31:26,91
73,2021-04-11,13:31:27,77
74,2021-04-11,13:31:28,92
75,2021-04-11,13:31:29,97
76,2021-04-11,13:31:30,83
77,2021-04-11,13:31:31,98
78,2021-04-11,13:31:32,88
79,2021-04-11,13:31:33,77
80,2021-04-11,13:31:34,83
81,2021-04-11,13:31:35,90
82,2021-04-11,13:31:36,91
83,2021-04-11,13:31:37,78
84,2021-04-11,13:31:38,95
85,2021-04-11,13:31:39,78
86,2021-04-11,13:31:40,89
87,2021-04-11,13:31:41,86
88,2021-04-11,13:31:42,83
89,2021-04-11,13:31:43,75
90,2021-04-11,13:31:44,88
91,2021-04-11,13:31:45,91
92,2021-04-11,13:31:46,70
93,2021-04-11,13:31:47,70
94,2021-04-11,13:31:48,87
95,2021-04-11,13:31:49,74
96,2021-04-11,13:31:50,86
97,2021-04-11,13:31:51,78
98,2021-04-11,13:31:52,96
99,2021-04-11,13:31:53,79
100,2021-04-11,13:31:54,90
101,2021-04-11,13:31:55,94
102,2021-04-11,13:31:56,82
103,2021-04-11,13:31:57,77
104,2021-04-11,13:31:58,72
105,2021-04-11,13:31:59,87
106,2021-04-11,13:32:00,95
107,2021-04-11,13:32:01,75
108,2021-04-11,13:32:02,87
109,2021-04-11,13:32:03,74
110,2021-04-11,13:32:04,92
111,2021-04-11,13:32:05,100
112,2021-04-11,13:32:06,86
113,2021-04-11,13:32:07,70
114,2021-04-11,13:32:08,90
115,2021-04-11,13:32:09,96
116,2021-04-11,13:32:10,73
117,2021-04-11,13:32:11,72
118,2021-04-11,13:32:12,74
119,2021-04-11,13:32:13,73
120,2021-04-11,13:32:14,90
121,2021-04-11,13:32:15,83
122,2021-04-11,13:32:16,95
123,2021-04-11,13:32:17,88
124,2021-04-11,13:32:18,100
125,2021-04-11,13:32:19,86
126,2021-04-11,13:32:20,85
127,2021-04-11,13:32:21,92
128,2021-04-11,13:32:22,100
129,2021-04-11,13:32:23,75
130,2021-04-11,13:32:24,87
131,2021-04-11,13:32:25,77
132,2021-04-11,13:32:26,82
133,2021-04-11,13:32:27,98
134,2021-04-11,13:32:28,71
135,2021-04-11,13:32:29,84
136,2021-04-11,13:32:30,97
137,2021-04-11,13:32:31,76
138,2021-04-11,13:32:32,85
139,2021-04-11,13:32:33,99
140,2021-04-11,13:32:34,81
141,2021-04-11,13:32:35,92
142,2021-04-11,13:32:36,86
143,2021-04-11,13:32:37,77
144,2021-04-11,13:32:38,92
145,2021-04-11,13:32:39,93
146,2021-04-11,13:32:40,94
147,2021-04-11,13:32:41,74
148,2021-04-11,13:32:42,78
149,2021-04-11,13:32:43,86
150,2021-04-11,13:32:44,87
151,2021-04-11,13:32:45,82
152,2021-04-11,13:32:46,75
153,2021-04-11,13:32:47,96
154,2021-04-11,13:32:48,97
155,2021-04-11,13:32:49,75
156,2021-04-11,13:32:50,73
157,2021-04-11,13:32:51,71
158,2021-04-11,13:32:52,70
159,2021-04-11,13:32:53,80
160,2021-04-11,13:32:54,77
161,2021-04-11,13:32:55,72
162,2021-04-11,13:32:56,77
163,2021-04-11,13:32:57,85
164,2021-04-11,13:32:58,83
165,2021-04-11,13:32:59,91
166,2021-04-11,13:33:00,92
167,2021-04-11,13:33:01,81
168,2021-04-11,13:33:02,83
169,2021-04-11,13:33:03,88
170,2021-04-11,13:33:04,83
171,2021-04-11,13:33:05,88
172,2021-04-11,13:33:06,81
173,2021-04-11,13:33:07,79
174,2021-04-11,13:33:08,90
175,2021-04-11,13:33:09,83
176,2021-04-11,13:33:10,74
177,2021-04-11,13:33:11,95
178,2021-04-11,13:33:12,70
179,2021-04-11,13:33:13,79
180,2021-04-11,13:33:14,89
181,2021-04-11,13:33:15,76
182,2021-04-11,13:33:16,88
183,2021-04-11,13:33:17,100
184,2021-04-11,13:33:18,78
185,2021-04-11,13:33:19,92
186,2021-04-11,13:33:20,97
187,2021-04-11,13:33:21,85
188,2021-04-11,13:33:22,92
189,2021-04-11,13:33:23,85
190,2021-04-11,13:33:24,76
191,2021-04-11,13:33:25,96
192,2021-04-11,13:33:26,97
193,2021-04-11,13:33:27,71
194,2021-04-11,13:33:28,71
195,2021-04-11,13:33:29,75
196,2021-04-11,13:33:30,88
197,2021-04-11,13:33:31,93
198,2021-04-11,13:33:32,79
199,2021-04-11,13:33:33,72
200,2021-04-11,13:33:34,82
201,2021-04-11,13:33:35,73
202,2021-04-11,13:33:36,88
203,2021-04-11,13:33:37,76
204,2021-04-11,13:33:38,86
205,2021-04-11,13:33:39,92
206,2021-04-11,13:33:40,78
207,2021-04-11,13:33:41,72
208,2021-04-11,13:33:42,83
209,2021-04-11,13:33:43,82
210,2021-04-11,13:33:44,95
211,2021-04-11,13:33:45,95
212,2021-04-11,13:33:46,73
213,2021-04-11,13:33:47,85
214,2021-04-11,13:33:48,98
215,2021-04-11,13:33:49,97
216,2021-04-11,13:33:50,94
217,2021-04-11,13:33:51,93
218,2021-04-11,13:33:52,87
219,2021-04-11,13:33:53,83
220,2021-04-11,13:33:54,76
221,2021-04-11,13:33:55,76
222,2021-04-11,13:33:56,95
223,2021-04-11,13:33:57,73
224,2021-04-11,13:33:58,94
225,2021-04-11,13:33:59,97
226,2021-04-11,13:34:00,70
227,2021-04-11,13:34:01,76
228,2021-04-11,13:34:02,83
229,2021-04-11,13:34:03,90
230,2021-04-11,13:34:04,70
231,2021-04-11,13:34:05,96
232,2021-04-11,13:34:06,83
233,2021-04-11,13:34:07,96
234,2021-04-11,13:34:08,81
235,2021-04-11,13:34:09,82
236,2021-04-11,13:34:10,84
237,2021-04-11,13:34:11,88
238,2021-04-11,13:34:12,93
239,2021-04-11,13:34:13,71
240,2021-04-11,13:34:14,75
241,2021-04-11,13:34:15,83
242,2021-04-11,13:34:16,91
243,2021-04-11,13:34:17,91
244,2021-04-11,13:34:18,70
245,2021-04-11,13:34:19,75
246,2021-04-11,13:34:20,90
247,2021-04-11,13:34:21,95
248,2021-04-11,13:34:22,76
249,2021-04-11,13:34:23,81
250,2021-04-11,13:34:24,73
251,2021-04-11,13:34:25,78
252,2021-04-11,13:34:26,71
253,2021-04-11,13:34:27,88
254,2021-04-11,13:34:28,85
255,2021-04-11,13:34:29,80
256,2021-04-11,13:34:30,80
257,2021-04-11,13:34:31,96
258,2021-04-11,13:34:32,99
259,2021-04-11,13:34:33,77
260,2021-04-11,13:34:34,71
261,2021-04-11,13:34:35,84
262,2021-04-11,13:34:36,73
263,2021-04-11,13:34:37,96
264,2021-04-11,13:34:38,87
265,2021-04-11,13:34:39,81
266,2021-04-11,13:34:40,86
267,2021-04-11,13:34:41,98
268,2021-04-11,13:34:42,87
269,2021-04-11,13:34:43,91
270,2021-04-11,13:34:44,74
271,2021-04-11,13:34:45,91
272,2021-04-11,13:34:46,73
273,2021-04-11,13:34:47,95
274,2021-04-11,13:34:48,89
275,2021-04-11,13:34:49,79
276,2021-04-11,13:34:50,85
277,2021-04-11,13:34:51,73
278,2021-04-11,13:34:52,74
279,2021-04-11,13:34:53,90
280,2021-04-11,13:34:54,72
281,2021-04-11,13:34:55,89
282,2021-04-11,13:34:56,90
283,2021-04-11,13:34:57,78
284,2021-04-11,13:34:58,87
285,2021-04-11,13:34:59,77
286,2021-04-11,13:35:00,99
287,2021-04-11,13:35:01,97
288,2021-04-11,13:35:02,85
289,2021-04-11,13:35:03,94
290,2021-04-11,13:35:04,75
291,2021-04-11,13:35:05,88
292,2021-04-11,13:35:06,74
293,2021-04-11,13:35:07,98
294,2021-04-11,13:35:08,94
295,2021-04-11,13:35:09,72
296,2021-04-11,13:35:10,91
297,2021-04-11,13:35:11,81
298,2021-04-11,13:35:12,92
299,2021-04-11,13:35:13,94
300,2021-04-11,13:35:14,95
301,2021-04-11,13:35:15,10
302,2021-04-11,13:35:16,19
303,2021-04-11,13:35:17,29
304,2021-04-11,13:35:18,6
305,2021-04-11,13:35:19,26
306,2021-04-11,13:35:20,21
307,2021-04-11,13:35:21,28
308,2021-04-11,13:35:22,25
309,2021-04-11,13:35:23,17
310,2021-04-11,13:35:24,24
311,2021-04-11,13:35:25,30
312,2021-04-11,13:35:26,18
313,2021-04-11,13:35:27,7
314,2021-04-11,13:35:28,14
315,2021-04-11,13:35:29,16
316,2021-04-11,13:35:30,14
317,2021-04-11,13:35:31,25
318,2021-04-11,13:35:32,11
319,2021-04-11,13:35:33,14
320,2021-04-11,13:35:34,9
321,2021-04-11,13:35:35,9
322,2021-04-11,13:35:36,22
323,2021-04-11,13:35:37,30
324,2021-04-11,13:35:38,29
325,2021-04-11,13:35:39,22
326,2021-04-11,13:35:40,20
327,2021-04-11,13:35:41,24
328,2021-04-11,13:35:42,12
329,2021-04-11,13:35:43,17
330,2021-04-11,13:35:44,23
331,2021-04-11,13:35:45,22
332,2021-04-11,13:35:46,29
333,2021-04-11,13:35:47,23
334,2021-04-11,13:35:48,23
335,2021-04-11,13:35:49,27
336,2021-04-11,13:35:50,19
337,2021-04-11,13:35:51,19
338,2021-04-11,13:35:52,21
339,2021-04-11,13:35:53,19
340,2021-04-11,13:35:54,26
341,2021-04-11,13:35:55,12
342,2021-04-11,13:35:56,15
343,2021-04-11,13:35:57,11
344,2021-04-11,13:35:58,25
345,2021-04-11,13:35:59,20
346,2021-04-11,13:36:00,13
347,2021-04-11,13:36:01,23
348,2021-04-11,13:36:02,5
349,2021-04-11,13:36:03,8
350,2021-04-11,13:36:04,27
351,2021-04-11,13:36:05,9
352,2021-04-11,13:36:06,21
353,2021-04-11,13:36:07,12
354,2021-04-11,13:36:08,15
355,2021-04-11,13:36:09,21
356,2021-04-11,13:36:10,30
357,2021-04-11,13:36:11,5
358,2021-04-11,13:36:12,18
359,2021-04-11,13:36:13,20
360,2021-04-11,13:36:14,10
361,2021-04-11,13:36:15,8
362,2021-04-11,13:36:16,18
363,2021-04-11,13:36:17,26
364,2021-04-11,13:36:18,6
365,2021-04-11,13:36:19,17
366,2021-04-11,13:36:20,12
367,2021-04-11,13:36:21,20
368,2021-04-11,13:36:22,10
369,2021-04-11,13:36:23,22
370,2021-04-11,13:36:24,7
371,2021-04-11,13:36:25,18
372,2021-04-11,13:36:26,18
373,2021-04-11,13:36:27,25
374,2021-04-11,13:36:28,25
375,2021-04-11,13:36:29,5
376,2021-04-11,13:36:30,23
377,2021-04-11,13:36:31,5
378,2021-04-11,13:36:32,22
379,2021-04-11,13:36:33,29
380,2021-04-11,13:36:34,19
381,2021-04-11,13:36:35,19
382,2021-04-11,13:36:36,14
383,2021-04-11,13:36:37,30
384,2021-04-11,13:36:38,25
385,2021-04-11,13:36:39,19
386,2021-04-11,13:36:40,14
387,2021-04-11,13:36:41,17
388,2021-04-11,13:36:42,10
389,2021-04-11,13:36:43,14
390,2021-04-11,13:36:44,11
391,2021-04-11,13:36:45,13
392,2021-04-11,13:36:46,16
393,2021-04-11,13:36:47,24
394,2021-04-11,13:36:48,10
395,2021-04-11,13:36:49,13
396,2021-04-11,13:36:50,25
397,2021-04-11,13:36:51,19
398,2021-04-11,13:36:52,6
399,2021-04-11,13:36:53,8
400,2021-04-11,13:36:54,21
401,2021-04-11,13:36:55,13
402,2021-04-11,13:36:56,9
403,2021-04-11,13:36:57,11
404,2021-04-11,13:36:58,26
405,2021-04-11,13:36:59,20
406,2021-04-11,13:37:00,21
407,2021-04-11,13:37:01,28
408,2021-04-11,13:37:02,27
409,2021-04-11,13:37:03,19
410,2021-04-11,13:37:04,16
411,2021-04-11,13:37:05,22
412,2021-04-11,13:37:06,30
413,2021-04-11,13:37:07,16
414,2021-04-11,13:37:08,19
415,2021-04-11,13:37:09,10
416,2021-04-11,13:37:10,15
417,2021-04-11,13:37:11,15
418,2021-04-11,13:37:12,25
419,2021-04-11,13:37:13,9
420,2021-04-11,13:37:14,26
421,2021-04-11,13:37:15,20
422,2021-04-11,13:37:16,13
423,2021-04-11,13:37:17,21
424,2021-04-11,13:37:18,18
425,2021-04-11,13:37:19,7
426,2021-04-11,13:37:20,21
427,2021-04-11,13:37:21,10
428,2021-04-11,13:37:22,6
429,2021-04-11,13:37:23,17
430,2021-04-11,13:37:24,12
431,2021-04-11,13:37:25,30
432,2021-04-11,13:37:26,5
433,2021-04-11,13:37:27,24
434,2021-04-11,13:37:28,19
435,2021-04-11,13:37:29,17
436,2021-04-11,13:37:30,18
437,2021-04-11,13:37:31,18
438,2021-04-11,13:37:32,13
439,2021-04-11,13:37:33,29
440,2021-04-11,13:37:34,28
441,2021-04-11,13:37:35,16
442,2021-04-11,13:37:36,12
443,2021-04-11,13:37:37,10
444,2021-04-11,13:37:38,5
445,2021-04-11,13:37:39,15
446,2021-04-11,13:37:40,13
447,2021-04-11,13:37:41,22
448,2021-04-11,13:37:42,13
449,2021-04-11,13:37:43,12
450,2021-04-11,13:37:44,14
451,2021-04-11,13:37:45,22
452,2021-04-11,13:37:46,21
453,2021-04-11,13:37:47,21
454,2021-04-11,13:37:48,13
455,2021-04-11,13:37:49,19
456,2021-04-11,13:37:50,27
457,2021-04-11,13:37:51,21
458,2021-04-11,13:37:52,19
459,2021-04-11,13:37:53,16
460,2021-04-11,13:37:54,9
461,2021-04-11,13:37:55,20
462,2021-04-11,13:37:56,12
463,2021-04-11,13:37:57,24
464,2021-04-11,13:37:58,26
465,2021-04-11,13:37:59,16
466,2021-04-11,13:38:00,5
467,2021-04-11,13:38:01,14
468,2021-04-11,13:38:02,10
469,2021-04-11,13:38:03,7
470,2021-04-11,13:38:04,17
471,2021-04-11,13:38:05,18
472,2021-04-11,13:38:06,25
473,2021-04-11,13:38:07,25
474,2021-04-11,13:38:08,8
475,2021-04-11,13:38:09,14
476,2021-04-11,13:38:10,18
477,2021-04-11,13:38:11,19
478,2021-04-11,13:38:12,13
479,2021-04-11,13:38:13,21
480,2021-04-11,13:38:14,28
481,2021-04-11,13:38:15,25
482,2021-04-11,13:38:16,12
483,2021-04-11,13:38:17,7
484,2021-04-11,13:38:18,15
485,2021-04-11,13:38:19,23
486,2021-04-11,13:38:20,13
487,2021-04-11,13:38:21,10
488,2021-04-11,13:38:22,24
489,2021-04-11,13:38:23,30
490,2021-04-11,13:38:24,18
491,2021-04-11,13:38:25,9
492,2021-04-11,13:38:26,19
493,2021-04-11,13:38:27,6
