id,data,hora,disponibilidade em %
1,2021-04-11,13:30:15,96
2,2021-04-11,13:30:16,73
3,2021-04-11,13:30:17,72
4,2021-04-11,13:30:18,91
5,2021-04-11,13:30:19,72
6,2021-04-11,13:30:20,93
7,2021-04-11,13:30:21,76
8,2021-04-11,13:30:22,95
9,2021-04-11,13:30:23,77
10,2021-04-11,13:30:24,99
11,2021-04-11,13:30:25,75
12,2021-04-11,13:30:26,92
13,2021-04-11,13:30:27,80
14,2021-04-11,13:30:28,81
15,2021-04-11,13:30:29,70
16,2021-04-11,13:30:30,84
17,2021-04-11,13:30:31,71
18,2021-04-11,13:30:32,100
19,2021-04-11,13:30:33,87
20,2021-04-11,13:30:34,78
21,2021-04-11,13:30:35,87
22,2021-04-11,13:30:36,74
23,2021-04-11,13:30:37,81
24,2021-04-11,13:30:38,76
25,2021-04-11,13:30:39,92
26,2021-04-11,13:30:40,80
27,2021-04-11,13:30:41,82
28,2021-04-11,13:30:42,86
29,2021-04-11,13:30:43,83
30,2021-04-11,13:30:44,85
31,2021-04-11,13:30:45,78
32,2021-04-11,13:30:46,91
33,2021-04-11,13:30:47,87
34,2021-04-11,13:30:48,78
35,2021-04-11,13:30:49,88
36,2021-04-11,13:30:50,89
37,2021-04-11,13:30:51,93
38,2021-04-11,13:30:52,98
39,2021-04-11,13:30:53,93
40,2021-04-11,13:30:54,84
41,2021-04-11,13:30:55,81
42,2021-04-11,13:30:56,95
43,2021-04-11,13:30:57,80
44,2021-04-11,13:30:58,83
45,2021-04-11,13:30:59,93
46,2021-04-11,13:31:00,85
47,2021-04-11,13:31:01,88
48,2021-04-11,13:31:02,96
49,2021-04-11,13:31:03,73
50,2021-04-11,13:31:04,88
51,2021-04-11,13:31:05,97
52,2021-04-11,13:31:06,86
53,2021-04-11,13:31:07,91
54,2021-04-11,13:31:08,80
55,2021-04-11,13:31:09,81
56,2021-04-11,13:31:10,73
57,2021-04-11,13:31:11,95
58,2021-04-11,13:31:12,98
59,2021-04-11,13:31:13,84
60,2021-04-11,13:31:14,78
61,2021-04-11,13:31:15,93
62,2021-04-11,13:31:16,92
63,2021-04-11,13:31:17,84
64,2021-04-11,13:31:18,76
65,2021-04-11,13:31:19,89
66,2021-04-11,13:31:20,99
67,2021-04-11,13:31:21,87
68,2021-04-11,13:31:22,79
69,2021-04-11,13:31:23,95
70,2021-04-11,13:31:24,93
71,2021-04-11,13:31:25,80
72,2021-04-11,13:31:26,89
73,2021-04-11,13:31:27,96
74,2021-04-11,13:31:28,86
75,2021-04-11,13:31:29,75
76,2021-04-11,13:31:30,72
77,2021-04-11,13:31:31,82
78,2021-04-11,13:31:32,84
79,2021-04-11,13:31:33,92
80,2021-04-11,13:31:34,97
81,2021-04-11,13:31:35,79
