id,data,hora,disponibilidade em %
1,2021-04-11,13:30:15,26
2,2021-04-11,13:30:16,10
3,2021-04-11,13:30:18,7
4,2021-04-11,13:30:19,14
5,2021-04-11,13:30:20,41
6,2021-04-11,13:30:22,56
7,2021-04-11,13:30:53,47
8,2021-04-11,13:30:54,81
9,2021-04-11,13:30:55,13
10,2021-04-11,13:30:56,70
11,2021-04-11,13:31:02,67
12,2021-04-11,13:31:03,25
13,2021-04-11,13:31:04,41
14,2021-04-11,13:31:05,56
15,2021-04-11,13:31:06,1
16,2021-04-11,13:31:13,17
17,2021-04-11,13:31:14,89
18,2021-04-11,13:31:15,0
19,2021-04-11,13:31:16,0
20,2021-04-11,13:31:17,0
21,2021-04-11,13:31:24,68
22,2021-04-11,13:31:25,76
23,2021-04-11,13:31:26,54
24,2021-04-11,13:31:27,72
25,2021-04-11,13:31:28,36
26,2021-04-11,13:31:34,43
27,2021-04-11,13:31:35,58
28,2021-04-11,13:31:36,99
29,2021-04-11,13:31:37,90
30,2021-04-11,13:31:38,51
31,2021-04-11,13:31:44,81
32,2021-04-11,13:31:45,20
33,2021-04-11,13:31:46,82
34,2021-04-11,13:31:47,53
35,2021-04-11,13:31:48,80
36,2021-04-11,13:31:55,31
37,2021-04-11,13:31:56,77
38,2021-04-11,13:31:57,43
39,2021-04-11,13:31:58,31
40,2021-04-11,13:31:59,87
41,2021-04-11,13:32:05,48
42,2021-04-11,13:32:06,0
43,2021-04-11,13:32:07,0
44,2021-04-11,13:32:08,52
45,2021-04-11,13:32:09,0
46,2021-04-11,13:32:16,10
47,2021-04-11,13:32:17,3
48,2021-04-11,13:32:18,0
49,2021-04-11,13:32:19,0
50,2021-04-11,13:32:20,82
51,2021-04-11,13:32:27,16
52,2021-04-11,13:32:28,2
53,2021-04-11,13:32:29,48
54,2021-04-11,13:32:30,59
55,2021-04-11,13:32:31,36
56,2021-04-11,13:32:38,48
57,2021-04-11,13:32:39,9
58,2021-04-11,13:32:40,75
59,2021-04-11,13:32:41,79
60,2021-04-11,13:32:42,25
61,2021-04-11,13:32:48,79
62,2021-04-11,13:32:49,26
63,2021-04-11,13:32:50,1
64,2021-04-11,13:32:51,97
65,2021-04-11,13:32:52,39
66,2021-04-11,13:32:58,61
67,2021-04-11,13:32:59,95
68,2021-04-11,13:33:00,70
69,2021-04-11,13:33:01,15
70,2021-04-11,13:33:02,66
71,2021-04-11,13:33:09,60
72,2021-04-11,13:33:10,0
73,2021-04-11,13:33:11,46
74,2021-04-11,13:33:12,61
75,2021-04-11,13:33:13,61
76,2021-04-11,13:33:20,5
77,2021-04-11,13:33:21,75
78,2021-04-11,13:33:22,67
79,2021-04-11,13:33:23,7
80,2021-04-11,13:33:24,0
81,2021-04-11,13:33:31,57
82,2021-04-11,13:33:32,34
83,2021-04-11,13:33:33,10
84,2021-04-11,13:33:34,0
85,2021-04-11,13:33:35,51
86,2021-04-11,13:33:42,38
87,2021-04-11,13:33:43,21
88,2021-04-11,13:33:44,82
89,2021-04-11,13:33:45,32
90,2021-04-11,13:33:46,82
91,2021-04-11,13:33:52,3
92,2021-04-11,13:33:53,11
93,2021-04-11,13:33:54,52
94,2021-04-11,13:33:55,41
95,2021-04-11,13:33:56,84
96,2021-04-11,13:34:03,98
97,2021-04-11,13:34:04,68
98,2021-04-11,13:34:05,25
99,2021-04-11,13:34:06,73
100,2021-04-11,13:34:07,90
101,2021-04-11,13:34:13,50
102,2021-04-11,13:34:14,78
103,2021-04-11,13:34:15,57
104,2021-04-11,13:34:16,79
105,2021-04-11,13:34:17,63
106,2021-04-11,13:34:24,18
107,2021-04-11,13:34:25,12
108,2021-04-11,13:34:26,41
109,2021-04-11,13:34:27,79
110,2021-04-11,13:34:28,88
111,2021-04-11,13:34:34,23
112,2021-04-11,13:34:35,76
113,2021-04-11,13:34:36,10
114,2021-04-11,13:34:37,68
115,2021-04-11,13:34:38,57
116,2021-04-11,13:34:44,85
117,2021-04-11,13:34:45,21
118,2021-04-11,13:34:46,53
119,2021-04-11,13:34:47,97
120,2021-04-11,13:34:48,71
121,2021-04-11,13:34:55,59
122,2021-04-11,13:34:56,51
123,2021-04-11,13:34:57,24
124,2021-04-11,13:34:58,49
125,2021-04-11,13:34:59,73
126,2021-04-11,13:35:06,97
127,2021-04-11,13:35:07,67
128,2021-04-11,13:35:08,83
129,2021-04-11,13:35:09,15
130,2021-04-11,13:35:10,48
131,2021-04-11,13:35:17,1
132,2021-04-11,13:35:18,73
133,2021-04-11,13:35:19,22
134,2021-04-11,13:35:20,88
135,2021-04-11,13:35:21,21
136,2021-04-11,13:35:28,39
137,2021-04-11,13:35:29,50
138,2021-04-11,13:35:30,0
139,2021-04-11,13:35:31,80
140,2021-04-11,13:35:32,6
141,2021-04-11,13:35:38,16
142,2021-04-11,13:35:39,10
143,2021-04-11,13:35:40,59
144,2021-04-11,13:35:41,9
145,2021-04-11,13:35:42,62
146,2021-04-11,13:35:49,74
147,2021-04-11,13:35:50,72
148,2021-04-11,13:35:51,50
149,2021-04-11,13:35:52,7
150,2021-04-11,13:35:53,8
151,2021-04-11,13:35:59,53
152,2021-04-11,13:36:00,9
153,2021-04-11,13:36:01,0
154,2021-04-11,13:36:02,78
155,2021-04-11,13:36:03,33
156,2021-04-11,13:36:09,97
157,2021-04-11,13:36:10,35
158,2021-04-11,13:36:11,13
159,2021-04-11,13:36:12,77
160,2021-04-11,13:36:13,67
161,2021-04-11,13:36:19,95
162,2021-04-11,13:36:20,28
163,2021-04-11,13:36:21,84
164,2021-04-11,13:36:22,15
165,2021-04-11,13:36:23,31
166,2021-04-11,13:36:30,46
167,2021-04-11,13:36:31,23
168,2021-04-11,13:36:32,6
169,2021-04-11,13:36:33,35
170,2021-04-11,13:36:34,39
171,2021-04-11,13:36:41,41
172,2021-04-11,13:36:42,75
173,2021-04-11,13:36:43,55
174,2021-04-11,13:36:44,30
175,2021-04-11,13:36:45,34
176,2021-04-11,13:36:52,40
177,2021-04-11,13:36:53,81
178,2021-04-11,13:36:54,73
179,2021-04-11,13:36:55,79
180,2021-04-11,13:36:56,98
181,2021-04-11,13:37:03,60
182,2021-04-11,13:37:04,25
183,2021-04-11,13:37:05,71
184,2021-04-11,13:37:06,49
185,2021-04-11,13:37:07,75
186,2021-04-11,13:37:13,33
187,2021-04-11,13:37:14,3
188,2021-04-11,13:37:15,97
189,2021-04-11,13:37:16,24
190,2021-04-11,13:37:17,98
191,2021-04-11,13:37:23,83
192,2021-04-11,13:37:24,48
193,2021-04-11,13:37:25,31
194,2021-04-11,13:37:26,68
195,2021-04-11,13:37:27,22
196,2021-04-11,13:37:33,4
197,2021-04-11,13:37:34,76
198,2021-04-11,13:37:35,47
199,2021-04-11,13:37:36,74
200,2021-04-11,13:37:37,24
201,2021-04-11,13:37:44,39
202,2021-04-11,13:37:45,50
203,2021-04-11,13:37:46,1
204,2021-04-11,13:37:47,2
205,2021-04-11,13:37:48,22
206,2021-04-11,13:37:55,32
207,2021-04-11,13:37:56,74
208,2021-04-11,13:37:57,21
209,2021-04-11,13:37:58,54
210,2021-04-11,13:37:59,74
211,2021-04-11,13:38:06,32
212,2021-04-11,13:38:07,73
213,2021-04-11,13:38:08,2
214,2021-04-11,13:38:09,46
215,2021-04-11,13:38:10,52
216,2021-04-11,13:38:17,99
217,2021-04-11,13:38:18,48
218,2021-04-11,13:38:19,25
219,2021-04-11,13:38:20,76
220,2021-04-11,13:38:21,99
221,2021-04-11,13:38:27,87
222,2021-04-11,13:38:28,47
223,2021-04-11,13:38:29,49
224,2021-04-11,13:38:30,49
225,2021-04-11,13:38:31,25
226,2021-04-11,13:38:38,93
227,2021-04-11,13:38:39,96
228,2021-04-11,13:38:40,2
229,2021-04-11,13:38:41,49
230,2021-04-11,13:38:42,74
231,2021-04-11,13:38:48,8
232,2021-04-11,13:38:49,77
233,2021-04-11,13:38:50,0
234,2021-04-11,13:38:51,47
235,2021-04-11,13:38:52,98
236,2021-04-11,13:38:58,71
237,2021-04-11,13:38:59,47
238,2021-04-11,13:39:00,26
239,2021-04-11,13:39:01,49
240,2021-04-11,13:39:02,3
241,2021-04-11,13:39:09,88
242,2021-04-11,13:39:10,66
243,2021-04-11,13:39:11,71
244,2021-04-11,13:39:12,90
245,2021-04-11,13:39:13,17
246,2021-04-11,13:39:20,14
247,2021-04-11,13:39:21,0
248,2021-04-11,13:39:22,24
249,2021-04-11,13:39:23,73
250,2021-04-11,13:39:24,74
251,2021-04-11,13:39:31,24
252,2021-04-11,13:39:32,77
253,2021-04-11,13:39:33,41
254,2021-04-11,13:39:34,27
255,2021-04-11,13:39:35,47
256,2021-04-11,13:39:41,15
257,2021-04-11,13:39:42,35
258,2021-04-11,13:39:43,46
259,2021-04-11,13:39:44,70
260,2021-04-11,13:39:45,74
261,2021-04-11,13:39:51,36
262,2021-04-11,13:39:52,27
263,2021-04-11,13:39:53,22
264,2021-04-11,13:39:54,24
265,2021-04-11,13:39:55,26
266,2021-04-11,13:40:02,71
267,2021-04-11,13:40:03,2
268,2021-04-11,13:40:04,73
269,2021-04-11,13:40:05,23
270,2021-04-11,13:40:06,78
271,2021-04-11,13:40:12,73
272,2021-04-11,13:40:13,24
273,2021-04-11,13:40:14,98
274,2021-04-11,13:40:15,22
275,2021-04-11,13:40:16,12
276,2021-04-11,13:40:23,53
277,2021-04-11,13:40:24,50
278,2021-04-11,13:40:25,49
279,2021-04-11,13:40:26,74
280,2021-04-11,13:40:27,98
281,2021-04-11,13:40:34,17
282,2021-04-11,13:40:35,4
283,2021-04-11,13:40:36,21
284,2021-04-11,13:40:37,58
285,2021-04-11,13:40:38,1
286,2021-04-11,13:40:45,15
287,2021-04-11,13:40:46,75
288,2021-04-11,13:40:47,34
289,2021-04-11,13:40:48,75
290,2021-04-11,13:40:49,55
291,2021-04-11,13:40:55,70
292,2021-04-11,13:40:56,65
293,2021-04-11,13:40:57,80
294,2021-04-11,13:40:58,0
295,2021-04-11,13:40:59,99
296,2021-04-11,13:41:06,94
297,2021-04-11,13:41:07,73
298,2021-04-11,13:41:08,69
299,2021-04-11,13:41:09,29
300,2021-04-11,13:41:10,95
301,2021-04-11,13:41:17,99
302,2021-04-11,13:41:18,53
303,2021-04-11,13:41:19,24
304,2021-04-11,13:41:20,48
305,2021-04-11,13:41:21,77
306,2021-04-11,13:41:28,2
307,2021-04-11,13:41:29,99
308,2021-04-11,13:41:30,24
309,2021-04-11,13:41:31,25
310,2021-04-11,13:41:32,1
311,2021-04-11,13:41:38,41
312,2021-04-11,13:41:39,24
313,2021-04-11,13:41:40,73
314,2021-04-11,13:41:41,48
315,2021-04-11,13:41:42,25
316,2021-04-11,13:41:49,78
317,2021-04-11,13:41:50,50
318,2021-04-11,13:41:51,23
319,2021-04-11,13:41:52,49
320,2021-04-11,13:41:53,51
321,2021-04-11,13:42:00,42
322,2021-04-11,13:42:01,49
323,2021-04-11,13:42:02,48
324,2021-04-11,13:42:03,95
325,2021-04-11,13:42:04,30
326,2021-04-11,13:42:10,62
327,2021-04-11,13:42:11,46
